batter,impact
R Ninan,0.0875732433577486
Sameer Rizvi,0.08751894336035493
IS Sodhi,0.07940183628649
RT Ponting,0.07742686250292419
KA Maharaj,0.07555982847380349
CK Langeveldt,0.07479767238282256
MJ Owen,0.06932061495364861
R Sai Kishore,0.06779510204822486
GR Napier,0.06499422590759729
DP Vijaykumar,0.0636588472775434
Liton Das,0.06194811080853613
A Mukund,0.06071930997376973
T Shamsi,0.05836512535954702
CJ McKay,0.04913203986143666
Mohit Rathee,0.040655541557274244
JE Taylor,0.0316784372188922
MJ Suthar,0.02707015630517262
SA Abbott,0.02572765543065189
MN Samuels,0.02492590681003204
R Bishnoi,0.024688805023563673
Shoaib Akhtar,0.02446841359755303
Saurav Chauhan,0.021686538133858985
M de Lange,0.011463641376987077
J Syed Mohammad,0.010115444146878674
P Ray Barman,0.009922031558835535
AA Noffke,0.006398637166976993
JL Denly,0.0
S Kaushik,-0.0005774573205109493
Yashpal Singh,-0.000937935663099812
NJ Maddinson,-0.0018855276541240862
Sunny Gupta,-0.0032048377562902686
Y Prithvi Raj,-0.0042222859834557536
L Ablish,-0.004231557311739857
M Ashwin,-0.006310404697903449
DT Patil,-0.008492316891968218
V Viyaskanth,-0.008995612444912426
Musheer Khan,-0.014298396331785868
K Yadav,-0.01787406133917524
L Ngidi,-0.021102874151103942
V Pratap Singh,-0.021863766929217765
AA Kulkarni,-0.022330861415707004
CA Ingram,-0.030934046222268974
DM Bravo,-0.031132782310634766
AU Rashid,-0.035243635494166814
Mohammad Hafeez,-0.037249928728727344
Mukesh Choudhary,-0.042112113440628096
AA Bilakhia,-0.04404538321584872
Sunny Singh,-0.044952640318240464
DJ Muthuswami,-0.04765290041017911
SS Cottrell,-0.05235065364154769
LB Williams,-0.05727804573275441
UT Khawaja,-0.05945692992456433
PSP Handscomb,-0.060197529713660325
Mayank Dagar,-0.06165210299553267
MS Bhandage,-0.06356275185926186
BR Sharath,-0.06702375136315875
Vishnu Vinod,-0.07695574925818267
KS Williamson,-0.08002960822012861
JP Behrendorff,-0.08017633894938048
Shashank Singh,-0.08140228684180006
Gulbadin Naib,-0.08533381075173219
Kumar Kushagra,-0.08745866999506519
AN Ghosh,-0.0888655735972262
JM Kemp,-0.09811097513974389
XC Bartlett,-0.09953003514635739
BR Dunk,-0.10624648339452158
Kamran Khan,-0.1076012893274659
TR Birt,-0.10977777302321645
Y Gnaneswara Rao,-0.11027939773886786
ND Doshi,-0.11077513678088335
SB Dubey,-0.11334313213307878
SE Bond,-0.11557125702199585
X Thalaivan Sargunam,-0.1211579195216771
MC Juneja,-0.12406091226552038
P Chopra,-0.13725551245514356
S Lamichhane,-0.14530502781251087
AG Murtaza,-0.14574541304988986
KM Asif,-0.15191344649316413
KS Rathore,-0.15502471940339804
TL Seifert,-0.1568632468184833
Abdur Razzak,-0.1601180550710716
D Ferreira,-0.16276932863503224
DR Shorey,-0.16575953967933504
DAJ Bracewell,-0.16645090434140747
Mohammad Asif,-0.16991662748863892
SB Joshi,-0.1701764020182681
L Ronchi,-0.17803881721884673
S Sriram,-0.18015638032864112
K Gowtham,-0.1808452935654413
AC Thomas,-0.1870297128234848
Younis Khan,-0.19126679472212071
B Indrajith,-0.2097929134598675
KP Appanna,-0.22176294441108613
YV Dhull,-0.22694155264704732
SH Johnson,-0.2348010766061987
MJ Clarke,-0.23700400573710992
Anirudh Singh,-0.2397812926800562
AJ Turner,-0.26267451456195307
RJ Quiney,-0.2980331876111858
S Ladda,-0.30025915920040974
